"","pan.samplesID","cancer.type","Subtype_mRNA","Subtype_DNAmeth","Subtype_protein","Subtype_miRNA","Subtype_CNA","Subtype_Integrative","Subtype_other","Subtype_Selected"
"848","TCGA-BH-A18T-01A-11R-A12D-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"849","TCGA-BH-A18U-01A-21R-A12D-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"850","TCGA-BH-A18V-01A-11R-A12D-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"851","TCGA-E2-A14V-01A-11R-A12D-07","BRCA","Her2",NA,NA,NA,NA,NA,NA,"BRCA.Her2"
"852","TCGA-BH-A18K-01A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"853","TCGA-BH-A0DT-11A-12R-A12D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"854","TCGA-BH-A0DT-01A-21R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"855","TCGA-BH-A0DO-11A-22R-A12D-07","BRCA","Normal",NA,NA,NA,NA,NA,NA,"BRCA.Normal"
"856","TCGA-BH-A0DO-01B-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"857","TCGA-BH-A0C1-01B-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"858","TCGA-E2-A15H-01A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"859","TCGA-E2-A15G-01A-11R-A12D-07","BRCA","LumA",NA,NA,NA,NA,NA,NA,"BRCA.LumA"
"860","TCGA-E2-A14W-01A-11R-A12D-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
"861","TCGA-E2-A14Y-01A-21R-A12D-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"862","TCGA-E2-A158-01A-11R-A12D-07","BRCA","Basal",NA,NA,NA,NA,NA,NA,"BRCA.Basal"
"863","TCGA-E2-A15A-01A-11R-A12D-07","BRCA","LumB",NA,NA,NA,NA,NA,NA,"BRCA.LumB"
